0229306081019HISEK        32417330160231            111   264 10     0      0840609
0229506081022HISEK        32417330160231            11003   0   443840      1840609
0229506081022HISEK        32417330160231            111    84 30     0      0840609
0229406081021HISEK        32417330160231            11002   0   419870      1840609
0229406081021HISEK        32417330160231            111    70 20     0      0840609
0232206110744SCAMP1       24326222306 112H006A/JDB.D11001   0  1180490      1840614
0232206110744SCAMP1       24326222306 112H006A/JDB.D111   284 10     0      0840614
0246106280157TRC800        1514137562 96FRUEHAUF FIN11001   0   612870      2840628
0246106280157TRC800        1514137562 96FRUEHAUF FIN111   179 10     0      0840628
0259407240249TRC800        1514137562 96FRUEHAUF FIN11001   0   121430      2840725
0259407240249TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0840725
0216110311122SCAMP1       24326222306 112H0061/JDB.D11001   0  1210040      1841108
0216110311122SCAMP1       24326222306 112H0061/JDB.D111   290 10     0      0841108
0223611091446TRC330        1514242060 96ADMIN       11002   0   581425    106841109
0223611091446TRC330        1514242060 96ADMIN       111   283 21     0      0841109
0238612010725COPQ            13 75775  1PG/COPY     01001   0    79399      2841204
0238612010725COPQ            13 75775  1PG/COPY     011    39 10     0      0841204
0238512010719COPQ            13 75775  1PG/COPY     01001   0   189540     20841204
0238512010719COPQ            13 75775  1PG/COPY     011   105 10     0      0841204
0243412120121TRC800        1514137562 96FRUEHAUF FIN11001   0    40392      2841219
0243412120121TRC800        1514137562 96FRUEHAUF FIN111    38 10     0      0841219
0268608211745DIST121A     14351153123121DDG         01001   0   336514     74870821
0268608211745DIST121A     14351153123121DDG         011   209 10     0      0870821
0285403300957REQTYM       11346155675  3DBA         01001   0     5040      1880330
0285403300957REQTYM       11346155675  3DBA         011     3 10     0      0880330
0202801311915DCSMINN      16316365203249CANTERRA    01001   0   604430      1890131
0202801311915DCSMINN      16316365203249CANTERRA    011   147 10     0      0890131
0202901311946DCSMINN      16316365203249AIRCO       01001   0  1470500      2890131
0202901311946DCSMINN      16316365203249AIRCO       011   355 10     0      0890131
0203001311951DCSMINN      16316365203249AIRCO2      01001   0   180735      2890131
0203001311951DCSMINN      16316365203249AIRCO2      011    68 10     0      0890131
0203202010724DCSMINN      16316365203249CANTERRA    01001   0   619470      1890201
0203202010724DCSMINN      16316365203249CANTERRA    011   151 10     0      0890201
0203302010727DCSMINN      16316365203249AIRCO       01001   0  1497640      2890201
0203302010727DCSMINN      16316365203249AIRCO       011   356 10     0      0890201
0203402010729DCSMINN      16316365203249AIRCO2      01001   0   186555      2890201
0203402010729DCSMINN      16316365203249AIRCO2      011    69 10     0      0890201
0203502010852DCSMINN      16316365203249CANTERRA    01001   0   619470      1890201
0203502010852DCSMINN      16316365203249CANTERRA    011   151 10     0      0890201
